category,id,zh-cn,en,vn
title,name,Cybex 交易所,Cybex Exchange,
title,index,索引,Index,
title,login,登录,Login,
title,register,注册,Register,
title,exchange-default,交易中心,Exchange,
title,exchange,{price} | {currencies} | 交易中心,{price} | {currencies} | Exchange,
title,welcome,欢迎来到Cybex！,Welcome to CYBEX!,
title,market,交易行情,Market,
title,portfolio,资产列表,Portfolio,
title,history,充提记录,History,
title,deposit,充值,Deposit,
title,withdraw,提现,Withdraw,
title,unlock,解锁,Unlock,
title,logout,登出,Logout,
title,orders,委单,Orders,
sub_title,cybex_wallet,Cybex云钱包账户,Cybex Could Wallet,
sub_title,about_wallet,关于云钱包账户,About Cloud Wallet,
sub_title,create_wallet,创建云钱包账户,Create Cloud Wallet,
sub_title,confirmation,确认,Confirm,
sub_title,select_deposit,选择充值币种,Choose asset to deposit,
sub_title,select_withdraw,选择提现币种,Choose asset to withdraw,
sub_title,record_withdraw,提现记录,Withdrawal Record,
sub_title,record_deposit,充值记录,Deposit Record,
sub_title,cur_balance,资产总额：,Total Balance：,
sub_title,deposit_addr,充值地址,Deposit Address,
sub_title,fill_field,请填写信息完成注册,Fill all the fields below to create an account,
sub_title,congratulation,恭喜您，账户创建成功！,"Congratulations, your account successfully created!",
sub_title,important_notice,重要提示,Important Notice,
sub_title,verify_code.EOS,MEMO,MEMO,
sub_title,verify_code.XRP,Tag,Tag,
sub_title,deposit_account,充值帐户,Deposit Account,
sub_title,jump_to_reg,"登录或 <a href=""javascript:jumpTo('{url}')"">注册新账户</a> 即可开始交易","Sign In or <a href=""javascript:jumpTo('{url}')"">Create a new account</a> to continue",
sub_title,hello,您好,Hello,
form_label,account_name,账户名（公开可见）,Account Name (Public),
form_label,recommand_pwd,使用系统推荐密码,Use Generated Password,
form_label,password,密码,Password,
form_label,repeatpwd,确认密码,Comfirm password,
form_label,validation,验证码,Verification Code,
form_label,hide_small,隐藏小额资产,Hide Small Balances,
form_label,withdraw_addr,提现地址：,Withdrawal Address:,
form_label,deposit_addr,充值地址：,Deposit Address:,
form_label,deposit_account,充值账户：,Deposit Account:,
form_label,transfer_fee,转账手续费：,Transfer fee:,
form_label,amount,提现数量：,Amount:,
form_label,gateway_fee,提现手续费：,Withdrawal fee:,
form_label,receive_amount,实际到账：,You will get:,
form_label,memo.EOS,Memo：,Memo：,
form_label,memo.XRP,Tag：,Tag：,
form_label,type,类型,Type,
form_label,asset,币种,Asset,
nav,login,登录,Login,
nav,register,注册,Register,
nav,exchange,交易中心,Exchange,
nav,logout,注销,Logout,
nav,funds,资产,Assets,
nav,orders,委单,Orders,
nav,assets,我的资产,Balances,
nav,deposit,充值,Deposit,
nav,withdraw,提现,Withdraw,
nav,transfer_history,充提记录,D/W History,
nav,open_order,当前委托,Open Orders,
nav,order_history,历史委托,Order History,
nav,trade_history,历史成交,Trade History,
nav,volume24h,24h成交量:,VOL OF 24H:,
exchange,content.latest-price,最新价,Latest Price,
exchange,content.24h-change,24h涨跌,24h Change,
exchange,content.24h-high,24h最高价,24h High,
exchange,content.24h-low,24h最低价,24h Low,
exchange,content.volume24h,24h成交量,24h Volume,
exchange,content.groups,深度合并,Groups,
exchange,content.hide-pairs,隐藏其他交易对,Hide Other Pairs,
exchange,content.buy,买入,buy,
exchange,content.sell,卖出,sell,
exchange,content.all,全部,All,
exchange,content.search,搜索,search,
exchange,content.reset,重置,reset,
exchange,content.indicators,技术指标,Indicators,
exchange,content.15S,15秒,15s,
exchange,content.1M,1分,1m,
exchange,content.5M,5分,5m,
exchange,content.1H,1小时,1H,
exchange,content.1D,1天,1D,
exchange,block-title.markets,市场,Markets,
exchange,block-title.order-book,委托账本,Order Book,
